상호 대사 챕터 1								
ID	SceneName	Location	Character	Sprite Image	Dialogue	Situation	Interaction	비고
1	Yuuji's Mansion1F	거실	유우지	Default	다섯, 넷, 셋, 둘, 하나	게임 시작 후		
2	Yuuji's Mansion1F	거실	유우지	Default	다 숨었지? 찾는다~!!	1번 이후		
3	Yuuji's Mansion1F	거실	유우지	Default	하… 켄타랑 칸나 누나는 숨바꼭질을 너무 좋아한다니까..	2번 이후		
4	Yuuji's Mansion1F	거실	코즈키 칸나	Smile	유우지!! 꾀부리지 말고 얼렁 찾아라!!!!	3번 이후		
5	Yuuji's Mansion1F	거실	유우지	ThrowOff	(칸나 누나는 이럴 때 보면 정말 귀신 같다니까) 알겠다고~	4번 이후		
6	Yuuji's Mansion1F	거실	유우지	Default	서재 쪽에서 소리가 난 것 같은데 한 번 가볼까..	5번 이후		
7	Yuuji's Mansion1F	서재 앞	유우지	ThrowOff	치사하게 문을 잠그는게 어딨어!!	서재 앞으로 이동해 서재에 들어가려 하면 서재 문이 잠겨있다는 메시지가 나오고 이 이후 		
8	Yuuji's Mansion1F	서재 앞	코즈키 칸나	Smile	여기는 유우지 집이니까 유우지가 유리하잖아~	7번 이후		
9	Yuuji's Mansion1F	서재 앞	유우지	ThrowOff	….. 애초에 우리 집이나 누나네 집이나 집 구조는 똑같거든?	8번 이후		
10	Yuuji's Mansion1F	서재 앞	유우지	ThrowOff	유리하고 불리한게 어딨어!!	9번 이후		
11	Yuuji's Mansion1F	서재 앞	코즈키 칸나	ThrowOff	하하… 켄타부터 찾고 오던지~	10번 이후		
12	Yuuji's Mansion1F	서재 앞	유우지	Default	켄타는 딱 봐도 2층에 있겠지!	11번 이후		
13	Yuuji's Mansion1F	서재 앞	코즈키 칸나	ThrowOff	…!!!	12번 이후		
14	Yuuji's Mansion1F	서재 앞	유우지	Smile	딱 기다려! 열쇠 가져온다!!	13번 이후		
15	Yuuji's Mansion1F	서재 안	유우지	Default	분명히 여기에 있는데, 어디있는 거야	서재에 들어가자 마자		
